id;path;is_bee;is_wasp;is_otherinsect;is_other;photo_quality;is_validation;is_final_validation;label;bboxes;x_bb;y_bb;w_bb;h_bb;w_img;h_img;mx_bb;my_bb;mw_bb;mh_bb;;;;
1;bee1\10007154554_026417cfd0_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
2;bee1\10024864894_6dc54d4b34_n.jpg;1;0;0;0;1;0;1;bee;0;115;34;112;108;319;212;;;;;;;;
3;bee1\10092043833_7306dfd1f0_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
4;bee1\1011948979_fc3637e779_w.jpg;1;0;0;0;1;0;1;bee;0;20;2;325;265;400;267;;;;;;;;
5;bee1\10128235063_dca17db76c_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
6;bee1\10130729734_f68738333e_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
7;bee1\10166485783_9cd6706c72_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
8;bee1\10179824_84803290ac_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
9;bee1\10197482094_0176d1bacb_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
10;bee1\10242298546_aac12f5223_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
11;bee1\10290912366_20f0dbdb0e_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
12;bee1\10290912366_20f0dbdb0e_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
13;bee1\10319307805_02d44f6555_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
14;bee1\10319312035_07f21405de_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
15;bee1\10330536605_77cd1d5e37_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
16;bee1\10330536605_77cd1d5e37_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
17;bee1\10386457326_4cc07bac3b_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
18;bee1\10392500084_4b1ef7ffac_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
19;bee1\10392744445_277e994c9e_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
20;bee1\10392941093_f2f0abbd9d_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
21;bee1\10408546655_27654d0185_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
22;bee1\10408556086_0f661a361f_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
23;bee1\1044467943_594f56bd36_n.jpg;1;0;0;0;1;0;1;bee;1;174;11;87;165;320;253;188,176;11,96;58,84;72,79;;;;
24;bee1\10457143913_149e654aaa_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
25;bee1\10626408266_c96b0fb945_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
26;bee1\10626649743_2f30cb33c3_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
27;bee1\10741832906_8cfa402d7b_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
28;bee1\10741839246_552d9b2a88_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
29;bee1\10767993123_11165835f0_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
30;bee1\10823833_f3cfe581b6_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
31;bee1\10823834_7f6ddb5bce_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
32;bee1\109174454_99ce7901c8_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
33;bee1\1096523362_266c05f368_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
34;bee1\11061289353_f22005ee19_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
35;bee1\11513862125_e99c104902_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
36;bee1\1153590285_0404c5d0e2_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
37;bee1\1154438668_037d503906_m.jpg;1;0;0;0;1;0;1;bee;1;8;0;209;185;240;192;11,174,58,17;4,0,36,61;47,39,53,166;57,21,20,123;;;;
38;bee1\11553185696_d1414ce263_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
39;bee1\11564246563_3a730b34ca_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
40;bee1\11609248916_80ea630895_n.jpg;1;0;0;0;1;0;1;bee;0;10;70;306;153;320;240;;;;;;;;
41;bee1\11698983046_8a7f5dda36_n.jpg;1;0;0;0;1;0;1;bee;0;96;82;123;99;320;239;;;;;;;;
42;bee1\117423537_2f4372aa4e_m.jpg;1;0;0;0;1;0;1;bee;1;7;0;173;240;180;240;7,39;0,124;173,137;124,116;;;;
43;bee1\11746190903_a607ef37e0_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
44;bee1\11755398113_83f1ab1f77_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
45;bee1\1194616371_51dc6563b6_n.jpg;1;0;0;0;1;0;1;bee;0;111;35;68;67;320;213;;;;;;;;
46;bee1\119646079_44a22ec7b9_n.jpg;1;0;0;0;1;0;1;bee;1;23;14;297;226;320;240;73,23,18;14,57,190;247,53,36;226,91,28;;;;
47;bee1\11968099543_e6496829a0_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
48;bee1\11976446564_6fa5e2393c_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
49;bee1\11976867746_45bbd15fc3_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
50;bee1\12022928985_2923a92ed0_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
51;bee1\1204612547_7eedda6846_w.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
52;bee1\121045590_56468b772e_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
53;bee1\1230641767_7945e041c4_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
54;bee1\1240800_e5f2b40032_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
55;bee1\1244616841_a67453f3b7_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
56;bee1\12591920424_8b5568c537_n.jpg;1;0;0;0;1;0;1;bee;0;119;85;77;44;320;213;;;;;;;;
57;bee1\1261521903_ed5af42e71_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
58;bee1\1278830171_9f5a28b027_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
59;bee1\1286067575_df1de348ee_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
60;bee1\1297064126_e1ebe8a109_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
61;bee1\130053000_e5e9785e1b_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
62;bee1\13124742574_e2cdf1ba10_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
63;bee1\13177461713_73606a42a8_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
64;bee1\13177613014_2ac48e0388_m.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
65;bee1\132446013_8cbea4cf03_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
66;bee1\1324904081_75fdbb7ace_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
67;bee1\13357903333_9a4620f4dc_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
68;bee1\1338259334_1935a3a440_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
69;bee1\13485698883_6ac43d580c_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
70;bee1\13485728943_1ea6cd7058_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
71;bee1\13485969934_bf7388bbe6_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
72;bee1\1349064378_f88a1e6b48_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
73;bee1\135044557_8afc879cab_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
74;bee1\13534123133_aabc1f3b9e_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
75;bee1\136590915_bd3723fc85_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
76;bee1\13702287973_4be2499014_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
77;bee1\13756366184_73147d5e44_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
78;bee1\13756366184_73147d5e44_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
79;bee1\13757733233_3d24b4d79d_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
80;bee1\1376169379_1233383aab_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
81;bee1\1376862575_71d55ca527_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
82;bee1\13806275074_996f4ccce9_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
83;bee1\13815411724_4d0c56c4b1_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
84;bee1\13825470143_c0d4448efe_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
85;bee1\13825840873_b84dd1b0a8_n.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
86;bee1\13825840873_b84dd1b0a8_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
87;bee1\13826117474_5411c33ec2_w.jpg;1;0;0;0;1;0;1;bee;;;;;;;;;;;;;;;
88;bee1\13857515175_9800819b9c_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
89;bee1\13857515175_9800819b9c_w.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
90;bee1\13857873954_0ea45a2d2b_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
91;bee1\13870075855_8dc6d885c4_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
92;bee1\13883129121_b9a6ac4785_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
93;bee1\1388451580_00495df560_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
94;bee1\13888818877_c9cfd2d946_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
95;bee1\13888820747_5620153b49_m.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
96;bee1\13888835850_ce2fc9fbe3_m.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
97;bee1\1388966498_ec3cef43be_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
98;bee1\13917347914_6097b1f322_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
99;bee1\13937747369_499cbf8ce1_n.jpg;1;0;0;0;1;1;0;bee;;;;;;;;;;;;;;;
100;bee1\13953702201_1756dd881c_n.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
101;bee1\13953702201_1756dd881c_w.jpg;1;0;0;0;1;0;0;bee;;;;;;;;;;;;;;;
